Date,Open,High,Low,Close,Volume,Adj Close
1/4/2010,1116.56,1133.86,1116.56,1132.98,399.14,1132.98
1/5/2010,1132.66,1136.63,1129.66,1136.52,249.1,1136.52
1/6/2010,1135.7,1139.18,1133.94,1137.14,497.26,1137.14
1/7/2010,1136.27,1142.45,1131.31,1141.68,527.06,1141.68
1/8/2010,1140.52,1145.39,1136.21,1144.97,438.95,1144.97
1/11/2010,1145.95,1149.73,1142.02,1146.97,425.57,1146.97
1/12/2010,1143.81,1143.81,1131.77,1136.21,471.61,1136.21
1/13/2010,1137.31,1148.4,1133.18,1145.68,417.03,1145.68
1/14/2010,1145.68,1150.41,1143.8,1148.45,391.52,1148.45
1/15/2010,1147.71,1147.77,1131.39,1136.03,475.87,1136.03
1/19/2010,1136.03,1150.44,1135.77,1150.22,472.48,1150.22
1/20/2010,1147.94,1147.94,1129.25,1138.04,481.05,1138.04
1/21/2010,1138.68,1141.57,1114.83,1116.47,687.42,1116.47
1/22/2010,1115.48,1115.48,1090.18,1091.76,620.86,1091.76
1/25/2010,1092.4,1102.96,1092.4,1096.78,448.13,1096.78
1/26/2010,1095.8,1103.68,1089.85,1092.17,473.19,1092.17
1/27/2010,1091.93,1099.51,1083.1,1097.5,531.91,1097.5
1/28/2010,1096.93,1100.21,1078.45,1084.53,545.24,1084.53
1/29/2010,1087.6,1096.44,1071.58,1073.86,541.28,1073.86
2/1/2010,1073.89,1089.38,1073.89,1089.18,407.76,1089.18
2/2/2010,1090.05,1104.72,1087.95,1103.31,474.95,1103.31
2/3/2010,1100.67,1102.71,1093.96,1097.28,428.54,1097.28
2/4/2010,1097.25,1097.25,1062.78,1063.1,585.96,1063.1
2/5/2010,1064.11,1067.13,1044.5,1066.18,643.89,1066.18
2/8/2010,1065.51,1071.19,1056.51,1056.73,408.98,1056.73
2/9/2010,1060.06,1079.28,1060.06,1070.52,511.42,1070.52
2/10/2010,1069.68,1073.67,1059.33,1068.13,425.14,1068.13
2/11/2010,1067.09,1080.04,1060.58,1078.46,440.08,1078.46
2/12/2010,1075.94,1077.81,1062.96,1075.51,416.06,1075.51
2/16/2010,1079.13,1095.67,1079.13,1094.86,408.07,1094.86
2/17/2010,1096.14,1101.03,1094.71,1099.51,425.92,1099.51
2/18/2010,1099.03,1108.23,1097.47,1106.75,387.86,1106.75
2/19/2010,1105.48,1112.42,1100.8,1109.17,394.42,1109.17
2/22/2010,1110,1112.29,1105.38,1108.01,381.44,1108.01
2/23/2010,1107.48,1108.57,1092.18,1094.59,452.1,1094.59
2/24/2010,1095.89,1106.42,1095.5,1105.23,416.83,1105.23
2/25/2010,1101.23,1103.5,1086.02,1102.93,452.11,1102.93
2/26/2010,1103.09,1107.23,1097.56,1104.48,394.51,1104.48
3/1/2010,1105.35,1116.1,1105.35,1115.7,384.76,1115.7
3/2/2010,1117.01,1123.45,1116.51,1118.31,413.46,1118.31
3/3/2010,1119.35,1125.64,1116.57,1118.79,395.13,1118.79
3/4/2010,1119.11,1123.72,1116.66,1122.96,394.5,1122.96
3/5/2010,1125.11,1139.38,1125.11,1138.69,413.3,1138.69
3/8/2010,1138.4,1141.05,1136.77,1138.5,377.46,1138.5
3/9/2010,1137.56,1145.36,1134.9,1140.44,518.55,1140.44
3/10/2010,1140.21,1148.26,1140.08,1145.6,546.91,1145.6
3/11/2010,1143.95,1150.23,1138.98,1150.23,466.9,1150.23
3/12/2010,1151.7,1153.41,1146.96,1149.98,492.81,1149.98
3/15/2010,1148.53,1150.97,1141.44,1150.51,416.41,1150.51
3/16/2010,1150.82,1160.28,1150.34,1159.45,436.97,1159.45
3/17/2010,1159.93,1169.83,1159.93,1166.2,496.32,1166.2
3/18/2010,1166.13,1167.77,1161.16,1165.82,423.45,1165.82
3/19/2010,1166.68,1169.19,1155.32,1159.9,521.24,1159.9
3/22/2010,1157.25,1167.81,1152.88,1165.81,426.16,1165.81
3/23/2010,1166.46,1174.71,1163.82,1174.17,441.16,1174.17
3/24/2010,1172.69,1173.04,1166.01,1167.71,470.57,1167.71
3/25/2010,1170.03,1180.68,1165.08,1165.72,566.89,1165.72
3/26/2010,1167.57,1173.93,1161.47,1166.58,470.84,1166.58
3/29/2010,1167.7,1174.84,1167.7,1173.21,437.55,1173.21
3/30/2010,1173.75,1177.82,1168.92,1173.27,408.5,1173.27
3/31/2010,1171.75,1174.56,1165.77,1169.43,448.43,1169.43
4/1/2010,1171.22,1181.43,1170.68,1178.09,400.68,1178.09
4/5/2010,1178.7,1187.72,1178.7,1187.43,388.16,1187.43
4/6/2010,1186.01,1191.8,1182.77,1189.43,408.61,1189.43
4/7/2010,1188.22,1189.59,1177.25,1182.44,510.14,1182.44
4/8/2010,1181.75,1188.55,1175.11,1186.43,472.69,1186.43
4/9/2010,1187.46,1194.66,1187.15,1194.36,451.15,1194.36
4/12/2010,1194.93,1199.19,1194.7,1196.47,460.7,1196.47
4/13/2010,1195.93,1199.04,1188.81,1197.3,540.35,1197.3
4/14/2010,1198.68,1210.65,1198.68,1210.65,576,1210.65
4/15/2010,1210.77,1213.92,1208.5,1211.67,599.53,1211.67
4/16/2010,1210.17,1210.17,1186.77,1192.13,810.84,1192.13
4/19/2010,1192.06,1197.86,1183.68,1197.52,659.77,1197.52
4/20/2010,1199.04,1208.57,1199.04,1207.17,531.65,1207.17
4/21/2010,1207.16,1210.98,1198.84,1205.93,572.43,1205.93
4/22/2010,1202.52,1210.27,1190.18,1208.67,603.57,1208.67
4/23/2010,1207.86,1217.28,1205.09,1217.28,532.6,1217.28
4/26/2010,1217.06,1219.8,1211.06,1212.05,564.77,1212.05
4/27/2010,1209.92,1211.38,1181.61,1183.7,745.45,1183.7
4/28/2010,1184.58,1195.05,1181.81,1191.35,634.23,1191.35
4/29/2010,1193.3,1209.35,1193.3,1206.78,605.94,1206.78
4/30/2010,1206.77,1207.98,1186.31,1186.68,604.82,1186.68
5/3/2010,1188.57,1205.13,1188.57,1202.26,493.8,1202.26
5/4/2010,1197.5,1197.5,1168.11,1173.59,659.47,1173.59
5/5/2010,1169.23,1175.94,1158.15,1165.86,679.59,1165.86
5/6/2010,1164.38,1167.57,1065.79,1128.15,1061.78,1128.15
5/7/2010,1127.04,1135.13,1094.15,1110.88,947.29,1110.88
5/10/2010,1122.27,1163.84,1122.27,1159.72,689.37,1159.72
5/11/2010,1156.39,1170.47,1147.7,1155.79,584.25,1155.79
5/12/2010,1155.43,1172.86,1155.43,1171.67,522.54,1171.67
5/13/2010,1170.04,1173.56,1156.14,1157.43,487.06,1157.43
5/14/2010,1157.18,1157.18,1126.14,1135.68,612.64,1135.68
5/17/2010,1136.52,1141.88,1114.95,1136.93,592.29,1136.93
5/18/2010,1138.78,1148.66,1117.19,1120.8,617.08,1120.8
5/19/2010,1119.56,1124.27,1100.66,1115.05,676.58,1115.05
5/20/2010,1107.33,1107.33,1071.57,1071.58,832.85,1071.58
5/21/2010,1067.26,1090.16,1055.9,1087.68,545.21,1087.68
5/24/2010,1084.78,1089.94,1072.69,1073.65,522.4,1073.65
5/25/2010,1067.42,1074.75,1040.78,1074.03,732.95,1074.03
5/26/2010,1075.51,1090.75,1065.58,1067.94,452.1,1067.94
5/27/2010,1074.27,1103.52,1074.27,1103.06,569.84,1103.06
5/28/2010,1102.58,1102.58,1084.78,1089.41,487.12,1089.41
6/1/2010,1087.3,1094.77,1069.89,1070.7,527.14,1070.7
6/2/2010,1073.01,1098.56,1072.03,1098.38,502.63,1098.38
6/3/2010,1098.81,1105.67,1091.81,1102.82,499.59,1102.82
6/4/2010,1098.43,1098.43,1060.5,1064.88,618.05,1064.88
6/7/2010,1065.83,1071.35,1049.85,1050.46,546.75,1050.46
6/8/2010,1050.81,1063.15,1042.17,1062,619.27,1062
6/9/2010,1062.75,1077.73,1052.25,1055.68,598.32,1055.68
6/10/2010,1058.77,1087.84,1058.77,1086.83,514.47,1086.83
6/11/2010,1082.65,1092.25,1077.11,1091.59,405.92,1091.59
6/14/2010,1095,1105.91,1089.03,1089.63,442.58,1089.63
6/15/2010,1091.2,1115.58,1091.2,1115.22,464.44,1115.22
6/16/2010,1114.02,1118.73,1107.13,1114.6,500.26,1114.6
6/17/2010,1115.97,1117.71,1105.86,1116.04,455.77,1116.04
6/18/2010,1116.16,1121.01,1113.93,1117.51,455.53,1117.51
6/21/2010,1122.79,1131.22,1108.23,1113.19,451.43,1113.19
